Date/Time,Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Fans:Electricity [J](TimeStep) 
 07/05  03:30:00,427500.0,0.0,0.0 
 07/05  03:45:00,427500.0,0.0,0.0 
 07/05  04:00:00,427500.0,0.0,0.0 
 07/05  04:15:00,427500.0,0.0,0.0 
 07/05  04:30:00,427500.0,0.0,0.0 
 07/05  04:45:00,427500.0,0.0,0.0 
 07/05  05:00:00,427500.0,0.0,0.0 
 07/05  05:15:00,427500.0,0.0,0.0 
 07/05  05:30:00,427500.0,0.0,0.0 
 07/05  05:45:00,427500.0,0.0,0.0 
 07/05  06:00:00,427500.0,0.0,0.0 
 07/05  06:15:00,3385389.403142371,2215663.864621751,338740.06447950774 
 07/05  06:30:00,3439366.420454453,2268078.0876956154,338740.06447950774 
 07/05  06:45:00,3500019.015118125,2324199.3147259494,338740.06447950774 
 07/05  07:00:00,3555226.924769806,2379262.696454894,338740.06447950774 
 07/05  07:15:00,3608345.5296609215,2429561.134159926,338740.06447950774 
 07/05  07:30:00,3661449.2387567554,2479066.335124534,338740.06447950774 
 07/05  07:45:00,3716339.1823780388,2529667.4072816446,338740.06447950774 
 07/05  08:00:00,3772996.016221281,2581012.3866882375,338740.06447950774 
 07/05  08:15:00,11416061.127009083,2769263.3406499135,349431.8125768981 
 07/05  08:30:00,11596875.186406422,2934300.6556448378,356136.65750762325 
 07/05  08:45:00,11695806.069646565,3019731.396744483,358697.1722211552 
 07/05  09:00:00,11771512.613742527,3084108.116085672,360222.9572749808 
 07/05  09:15:00,14631860.242887551,3337268.12852476,371093.3371150956 
 07/05  09:30:00,14797140.148239091,3487505.3091517393,376310.9681264051 
 07/05  09:45:00,15099705.760181397,3770157.79332998,390544.4451102025 
 07/05  10:00:00,15251880.96720833,3913113.4792038198,396039.4224702622 
 07/05  10:15:00,15829212.920020422,4133776.1024780055,403345.7131706011 
 07/05  10:30:00,16037969.304942882,4325127.8495544,408538.0312643462 
 07/05  10:45:00,16207652.052211994,4480056.265354336,411479.2964790421 
 07/05  11:00:00,16345955.667229477,4606106.443640408,412949.8265698826 
 07/05  11:15:00,15791419.063808635,4405324.357483527,399633.915347667 
 07/05  11:30:00,15736838.952096747,4355970.380195081,397910.55559853895 
 07/05  11:45:00,15711938.948694494,4334637.218949966,397833.3453420617 
