step,day,minute_of_day,zone,zone_temp_c,radiant_temp_c,rh_pct,setpoint_c,occupied,pmv,ppd,comfort_enforced
56,1,855,SPACE4-1,22.203,21.435,18.05,nan,True,-0.128,5.34,False
56,1,855,SPACE5-1,23.627,22.399,24.8,nan,True,0.165,5.56,False
57,1,870,SPACE1-1,22.661,22.108,21.76,nan,True,0.011,5.0,False
57,1,870,SPACE2-1,22.202,21.953,19.12,nan,True,-0.07,5.1,False
57,1,870,SPACE3-1,22.201,21.259,22.4,nan,True,-0.12,5.3,False
57,1,870,SPACE4-1,22.199,21.465,18.65,nan,True,-0.122,5.31,False
57,1,870,SPACE5-1,23.737,22.471,25.67,nan,True,0.19,5.75,False
58,1,885,SPACE1-1,22.742,22.127,22.56,nan,True,0.027,5.01,False
58,1,885,SPACE2-1,22.202,21.851,19.75,nan,True,-0.076,5.12,False
58,1,885,SPACE3-1,22.201,21.249,23.31,nan,True,-0.115,5.28,False
58,1,885,SPACE4-1,22.203,21.478,19.28,nan,True,-0.116,5.28,False
58,1,885,SPACE5-1,23.841,22.526,26.68,nan,True,0.213,5.94,False
59,1,900,SPACE1-1,22.766,22.103,23.38,nan,True,0.032,5.02,False
59,1,900,SPACE2-1,22.203,21.762,20.31,nan,True,-0.082,5.14,False
59,1,900,SPACE3-1,22.201,21.235,24.15,nan,True,-0.112,5.26,False
59,1,900,SPACE4-1,22.201,21.483,19.83,nan,True,-0.113,5.26,False
59,1,900,SPACE5-1,23.897,22.575,27.64,nan,True,0.231,6.11,False
60,1,915,SPACE1-1,22.743,22.052,24.2,nan,True,0.029,5.02,False
60,1,915,SPACE2-1,22.202,21.681,20.83,nan,True,-0.087,5.16,False
60,1,915,SPACE3-1,22.201,21.216,24.91,nan,True,-0.109,5.25,False
60,1,915,SPACE4-1,22.203,21.48,20.33,nan,True,-0.11,5.25,False
60,1,915,SPACE5-1,23.899,22.611,28.42,nan,True,0.24,6.19,False
61,1,930,SPACE1-1,22.645,21.969,25.01,nan,True,0.015,5.0,False
61,1,930,SPACE2-1,22.201,21.599,21.26,nan,True,-0.093,5.18,False
61,1,930,SPACE3-1,22.202,21.188,25.57,nan,True,-0.108,5.24,False
